rank,resume_id,similarity_score,shortlist_category
209,R201,0.17665315811714818,Weak Match
210,R212,0.17665315811714818,Weak Match
211,R205,0.17665315811714818,Weak Match
212,R206,0.17665315811714818,Weak Match
213,R207,0.17665315811714818,Weak Match
214,R208,0.17665315811714818,Weak Match
215,R233,0.17665315811714818,Weak Match
216,R236,0.17665315811714818,Weak Match
217,R224,0.17665315811714818,Weak Match
218,R219,0.17665315811714818,Weak Match
219,R228,0.17665315811714818,Weak Match
220,R226,0.17665315811714818,Weak Match
221,R230,0.17665315811714818,Weak Match
222,R231,0.17665315811714818,Weak Match
223,R328,0.17665315811714818,Weak Match
224,R324,0.17665315811714818,Weak Match
225,R322,0.17665315811714818,Weak Match
226,R304,0.17665315811714818,Weak Match
227,R303,0.17665315811714818,Weak Match
228,R300,0.17665315811714818,Weak Match
229,R281,0.17665315811714818,Weak Match
230,R282,0.17665315811714818,Weak Match
231,R240,0.17665315811714818,Weak Match
232,R237,0.17665315811714818,Weak Match
233,R235,0.17665315811714818,Weak Match
234,R242,0.17665315811714818,Weak Match
235,R241,0.17665315811714818,Weak Match
236,R245,0.17665315811714818,Weak Match
237,R246,0.17665315811714818,Weak Match
238,R248,0.17665315811714818,Weak Match
239,R256,0.17665315811714818,Weak Match
240,R278,0.17665315811714818,Weak Match
241,R280,0.17665315811714818,Weak Match
242,R275,0.17665315811714818,Weak Match
243,R267,0.17665315811714818,Weak Match
244,R270,0.17665315811714818,Weak Match
245,R273,0.17665315811714818,Weak Match
246,R249,0.17665315811714818,Weak Match
247,R250,0.17665315811714818,Weak Match
248,R254,0.17665315811714818,Weak Match
249,R253,0.17665315811714818,Weak Match
250,R252,0.17665315811714818,Weak Match
251,R263,0.17665315811714818,Weak Match
252,R251,0.17665315811714818,Weak Match
253,R264,0.17665315811714818,Weak Match
254,R295,0.17665315811714818,Weak Match
255,R288,0.17665315811714818,Weak Match
256,R287,0.17665315811714818,Weak Match
257,R286,0.17665315811714818,Weak Match
258,R290,0.17665315811714818,Weak Match
259,R292,0.17665315811714818,Weak Match
260,R291,0.17665315811714818,Weak Match
261,R293,0.17665315811714818,Weak Match
262,R342,0.17665315811714818,Weak Match
263,R330,0.17665315811714818,Weak Match
264,R329,0.17665315811714818,Weak Match
265,R331,0.17665315811714818,Weak Match
266,R320,0.17665315811714818,Weak Match
267,R316,0.17665315811714818,Weak Match
268,R338,0.17665315811714818,Weak Match
269,R340,0.17665315811714818,Weak Match
270,R345,0.13971732368508616,Weak Match
271,R203,0.13971732368508616,Weak Match
272,R214,0.13971732368508616,Weak Match
273,R211,0.13971732368508616,Weak Match
274,R209,0.13971732368508616,Weak Match
275,R213,0.13971732368508616,Weak Match
276,R350,0.13971732368508616,Weak Match
277,R346,0.13971732368508616,Weak Match
278,R232,0.13971732368508616,Weak Match
